suburb,region,origin_idx,horizon,actual,prophet
SOUTH COOGEE,sydney,28,1,-10.014836795252224,4.27896175389497
SOUTH COOGEE,sydney,28,2,22.17642209398188,-0.7691389222313907
SOUTH COOGEE,sydney,28,3,18.758434547908244,8.994762996014897
SOUTH COOGEE,sydney,28,4,-22.95454545454545,-0.9103208410248009
SOUTH COOGEE,sydney,34,1,0.7692307692307665,7.157756937373922
SOUTH COOGEE,sydney,34,2,14.50381679389312,7.084639022472411
SOUTH COOGEE,sydney,34,3,-13.33333333333333,20.58125229487635
SOUTH COOGEE,sydney,34,4,-21.15384615384616,1.6348302563666968
SOUTH COOGEE,sydney,40,1,11.250000000000004,10.274747596647616
SOUTH COOGEE,sydney,40,2,-7.303370786516849,-4.668692500940771
SOUTH COOGEE,sydney,40,3,4.242424242424248,11.115496040620549
SOUTH COOGEE,sydney,40,4,-36.27906976744186,2.8970130023743326
CASTLE HILL,sydney,28,1,3.4975017844396827,3.6488331763477677
CASTLE HILL,sydney,28,2,21.58620689655173,0.4001160331633611
CASTLE HILL,sydney,28,3,-31.934203062960865,-3.5185348039695166
CASTLE HILL,sydney,28,4,8.333333333333325,2.1708256304351017
CASTLE HILL,sydney,34,1,-8.037475345167655,-0.25067905094213394
CASTLE HILL,sydney,34,2,-1.87667560321716,8.830425778808205
CASTLE HILL,sydney,34,3,3.278688524590168,13.502868054228555
CASTLE HILL,sydney,34,4,-0.7936507936507908,3.5377931021549225
CASTLE HILL,sydney,40,1,17.09138840070299,4.095698379802519
CASTLE HILL,sydney,40,2,-26.260787992495302,4.30601303240473
CASTLE HILL,sydney,40,3,-0.4656133119609218,-12.441876338546994
CASTLE HILL,sydney,40,4,36.503067484662566,4.2853499964933786
CASTLE HILL,sydney,46,1,-38.64642631246047,-5.6886843501487485
CASTLE HILL,sydney,46,2,-5.154639175257736,6.730817832045215
CASTLE HILL,sydney,46,3,109.2873913043478,10.060375949652581
CASTLE HILL,sydney,46,4,5.04070749395984,1.6555135924521949
NEWTOWN,sydney,28,1,-2.857142857142858,-3.1839007009361713
NEWTOWN,sydney,28,2,12.941176470588234,2.865508252704605
NEWTOWN,sydney,28,3,4.513888888888884,-3.500656604360494
NEWTOWN,sydney,28,4,-13.12292358803987,9.325135215995891
NEWTOWN,sydney,34,1,-12.548387096774194,-2.362110818851959
NEWTOWN,sydney,34,2,-1.143489487274063,7.608781817222294
NEWTOWN,sydney,34,3,9.179104477611943,0.07685619235444241
NEWTOWN,sydney,34,4,-2.5974025974025983,13.474741908068218
NEWTOWN,sydney,40,1,-11.636363636363631,-1.3765431407654083
NEWTOWN,sydney,40,2,29.629629629629623,-1.065046599549028
NEWTOWN,sydney,40,3,-11.428571428571432,-3.4662165514404952
NEWTOWN,sydney,40,4,-2.508960573476704,4.637667066408721
NEWTOWN,sydney,46,1,11.876804619826764,-5.796772409314697
NEWTOWN,sydney,46,2,11.32140399174122,2.1693418944141083
NEWTOWN,sydney,46,3,-7.357032457496137,-1.5483883381122128
NEWTOWN,sydney,46,4,-44.14414414414415,4.669923945087095
TAHMOOR,sydney,28,1,7.341269841269837,-2.356774656249097
TAHMOOR,sydney,28,2,-8.317929759704256,-3.0469976878694216
TAHMOOR,sydney,28,3,11.290322580645151,3.3883798480645755
TAHMOOR,sydney,28,4,13.043478260869556,1.7138648079416838
TAHMOOR,sydney,34,1,-10.508474576271189,-0.4153885186387214
TAHMOOR,sydney,34,2,12.87878787878789,2.500491866485625
TAHMOOR,sydney,34,3,-12.080536912751684,5.147356527671066
TAHMOOR,sydney,34,4,12.977099236641232,8.36692653632796
