suburb,origin_quarter,horizon,actual,naive,seasonal_naive,sarima,prophet
EPPING,2020-10-01,1,5.280711825487949,-7.830687830687832,4.444444444444451,2.460538232823401,-25.98671516286791
EPPING,2020-10-01,2,-1.5261806225770005,-7.830687830687832,4.444444444444451,0.9674642659339172,-1.341520553941928
EPPING,2020-10-01,3,0.221483942414169,-7.830687830687832,4.444444444444451,-0.4783524575540377,-14.301945888999265
EPPING,2020-10-01,4,6.077348066298338,-7.830687830687832,4.444444444444451,-0.28554946866390524,6.155961332893826
EPPING,2021-07-01,1,6.077348066298338,0.221483942414169,-7.830687830687832,-0.6928028465406849,9.863401639983643
EPPING,2021-07-01,2,2.604166666666674,0.221483942414169,-7.830687830687832,0.1571579659741604,-6.918269577734565
EPPING,2021-07-01,3,-7.614213197969544,0.221483942414169,-7.830687830687832,-0.06878819117746483,-2.4518021004744606
EPPING,2021-07-01,4,0.0,0.221483942414169,-7.830687830687832,0.007760393863020763,-7.11998393535871
EPPING,2022-04-01,1,0.0,-7.614213197969544,0.221483942414169,0.934977170842372,-7.015146011799266
EPPING,2022-04-01,2,-9.175824175824175,-7.614213197969544,0.221483942414169,0.2773133092651009,-1.4211528732131518
EPPING,2022-04-01,3,-1.996370235934664,-7.614213197969544,0.221483942414169,0.08290384894987272,-1.3287548221200085
EPPING,2022-04-01,4,4.938271604938271,-7.614213197969544,0.221483942414169,-0.19507917742101022,-7.320644869384514
EPPING,2023-01-01,1,4.938271604938271,-1.996370235934664,-7.614213197969544,6.479617386140991,-7.347061907739317
EPPING,2023-01-01,2,-3.529411764705881,-1.996370235934664,-7.614213197969544,1.2814546925374628,-4.166923348520795
EPPING,2023-01-01,3,3.841463414634138,-1.996370235934664,-7.614213197969544,0.025810432877424076,-13.380949883885394
EPPING,2023-01-01,4,-2.4662360540223083,-1.996370235934664,-7.614213197969544,-0.0006043498537053411,2.5151143515937395
EPPING,2023-10-01,1,-2.4662360540223083,3.841463414634138,-1.996370235934664,0.9330047416070388,4.602033151511845
EPPING,2023-10-01,2,2.950030102347978,3.841463414634138,-1.996370235934664,0.36558587310783563,3.5335586290002006
EPPING,2023-10-01,3,4.093567251461994,3.841463414634138,-1.996370235934664,-0.06589370463023617,-12.295681128427411
EPPING,2023-10-01,4,-3.7640449438202217,3.841463414634138,-1.996370235934664,0.129803719330148,17.02060875018959
EPPING,2024-07-01,1,-3.7640449438202217,4.093567251461994,3.841463414634138,-2.303904141952518,17.514585926418032
EPPING,2024-07-01,2,28.4296555750146,4.093567251461994,3.841463414634138,-0.6605225102229585,-10.56625186671
EPPING,2024-07-01,3,-17.500000000000004,4.093567251461994,3.841463414634138,-0.004929058019690525,0.7034932062492281
