model,horizon,RMSE,MAE,MAPE_%,N
naive,all h=1-4,14.543405834975205,10.692081438366726,198.27375381371004,224
naive,h=1,17.804166526540076,12.140534608982737,183.0764363972895,56
naive,h=2,10.737751805998034,9.190979784109688,193.85529254437583,56
naive,h=3,13.06851024436669,10.413247056660973,242.77850572876756,56
naive,h=4,15.587462704496268,11.023564303713501,174.64204589030555,56
seasonal_naive,all h=1-4,14.378736255381678,10.678472187633117,204.09170805905285,224
seasonal_naive,h=1,15.084148871136982,10.865649570354808,162.9749901055766,56
seasonal_naive,h=2,13.45037170577523,10.014700767582948,173.91904821974325,56
seasonal_naive,h=3,13.886658264142994,11.23135084552876,277.8033662627541,56
seasonal_naive,h=4,15.023611459035976,10.602187567065954,204.5125852166959,56
sarima,all h=1-4,11.015407363652345,7.7860826597068655,120.73030190325879,224
sarima,h=1,11.86082959286412,7.98730199333385,102.93735777550698,56
sarima,h=2,10.262218592477588,8.167273724279397,136.02435992860978,56
sarima,h=3,9.012356468908111,7.021049507011169,143.4392129829804,56
sarima,h=4,12.575445095717344,7.968705414203045,101.01454745892087,56
prophet,all h=1-4,12.599439586283228,9.167011926531728,161.4417894171669,224
prophet,h=1,14.385833138060724,10.43906001315307,169.60280773125785,56
prophet,h=2,11.245792122997349,8.074046175017614,144.8522861905654,56
prophet,h=3,11.205377857522386,8.724306517586516,169.25656092678818,56
prophet,h=4,13.266611589775113,9.430635000369714,162.3739980440196,56
